Datetime,Open,High,Low,Close,side,entry_price,exit_price,original_status
2022-05-26 06:31:33,3993.75,3994.25,3993.75,3994.0,short,3994.25,,
2022-05-26 06:31:59,3996.0,3996.25,3995.75,3995.75,short,,3996.25,lose
2022-05-26 07:21:13,4036.75,4036.75,4036.5,4036.5,long,4036.75,,
2022-05-26 07:22:01,4038.75,4038.75,4038.25,4038.25,long,,4038.75,win
2022-05-26 07:33:00,4034.5,4034.75,4034.25,4034.5,long,4034.25,,
2022-05-26 07:33:46,4032.5,4032.5,4032.0,4032.25,long,,4032.25,lose
2022-05-26 08:03:47,4047.75,4048.0,4047.5,4047.75,short,4048.0,,
2022-05-26 08:12:50,4046.0,4046.0,4045.75,4046.0,short,,4046.0,win
2022-05-26 09:13:47,4054.0,4055.0,4054.0,4055.0,short,4054.25,,
2022-05-26 09:15:36,4052.5,4052.5,4052.25,4052.25,short,,4052.25,win
2022-05-26 10:05:44,4069.75,4070.0,4069.5,4069.75,short,4070.0,,
2022-05-26 10:08:13,4068.5,4068.5,4068.0,4068.0,short,,4068.0,win
2022-05-26 10:46:45,4063.75,4063.75,4063.5,4063.5,short,4063.5,,
2022-05-26 10:47:29,4061.5,4061.5,4061.5,4061.5,short,,4061.5,win
2022-05-26 11:33:11,4062.5,4062.5,4062.25,4062.5,long,4062.25,,
2022-05-26 11:35:37,4060.5,4060.5,4060.25,4060.25,long,,4060.25,lose
2022-05-26 12:16:10,4054.25,4054.25,4053.5,4053.5,long,4054.0,,
2022-05-26 12:17:00,4052.25,4052.25,4052.0,4052.0,long,,4052.0,lose
2022-05-26 12:32:09,4056.5,4056.5,4056.25,4056.25,short,4056.5,,
2022-05-26 12:32:31,4055.0,4055.0,4054.0,4054.5,short,,4054.5,win
2022-05-26 13:00:13,4053.0,4053.0,4052.25,4053.0,long,4052.5,,
2022-05-26 13:00:18,4053.75,4054.75,4053.75,4054.5,long,,4054.5,win
2022-05-27 06:30:52,4084.25,4084.75,4084.0,4084.25,short,4084.75,,
2022-05-27 06:31:01,4086.5,4087.5,4086.25,4087.25,short,,4086.75,lose
2022-05-27 07:22:24,4121.25,4121.25,4121.0,4121.0,long,4121.0,,
2022-05-27 07:22:36,4122.5,4123.0,4122.5,4122.75,long,,4123.0,win
2022-05-27 07:40:23,4118.75,4119.0,4118.5,4118.5,long,4118.5,,
2022-05-27 07:43:03,4116.75,4117.0,4116.5,4117.0,long,,4116.5,lose
2022-05-27 08:11:10,4117.5,4117.75,4117.5,4117.5,short,4117.75,,
2022-05-27 08:12:13,4119.5,4119.75,4119.5,4119.5,short,,4119.75,lose
2022-05-27 08:37:14,4119.5,4119.5,4119.25,4119.25,long,4119.25,,
2022-05-27 08:38:03,4120.75,4121.25,4120.75,4121.0,long,,4121.25,win
2022-05-27 09:17:30,4128.5,4128.5,4128.0,4128.0,long,4128.25,,
2022-05-27 09:19:01,4126.75,4126.75,4126.25,4126.5,long,,4126.25,lose
2022-05-27 09:54:13,4125.75,4125.75,4125.5,4125.75,short,4125.5,,
2022-05-27 09:55:28,4127.25,4127.75,4127.25,4127.5,short,,4127.5,lose
2022-05-27 11:20:08,4129.75,4129.75,4129.25,4129.5,short,4129.75,,
2022-05-27 11:27:53,4128.0,4128.0,4127.75,4127.75,short,,4127.75,win
2022-05-27 11:39:10,4127.75,4128.75,4127.5,4128.75,long,4127.75,,
2022-05-27 11:39:12,4129.25,4129.75,4129.0,4129.0,long,,4129.75,win
2022-05-27 12:05:29,4138.0,4140.75,4138.0,4139.25,short,4138.5,,
2022-05-27 12:05:55,4140.0,4140.75,4139.75,4140.25,short,,4140.5,lose
2022-05-27 12:35:57,4142.25,4142.25,4142.0,4142.0,long,4142.25,,
2022-05-27 12:36:54,4140.5,4140.5,4140.0,4140.0,long,,4140.25,lose
2022-05-27 13:00:19,4157.25,4157.5,4157.0,4157.5,short,4157.25,,
2022-05-27 13:00:42,4155.75,4155.75,4155.25,4155.25,short,,4155.25,win
